prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
42075,1.64717110000e+16,6756021,243,Repadina 2g vaginal ovule (IPC Pharma Ltd),,,Vaginal Moisturiser,,Vaginal Moisturiser,April 2010,24991005,,,,,,,,,0,71520100
75673,3.64700110000e+16,83475021,324,YES WB water-based vaginal lubricant pre-filled applicator (The Yes Yes Company Ltd),,,,,Vaginal Moisturiser,April 2019,83475021,,,,,,,,,0,71520100
49692,1.92589110000e+16,13365021,3309,Hyalofemme vaginal moisturiser (Purple Orchid Pharma Ltd),,,,,Vaginal Moisturiser,January 2013,31662005,,,,,,,,,0,71520100
11842,9354011000001108,94123020,194807,ReplensMD vaginal moisturiser unit dose (Church & Dwight UK Ltd),,,Vaginal Moisturiser,,Vaginal Moisturiser,February 2009,15668005,,,,,,,,,0,71520100
76204,9363911000001102,21462020,1,Vaginal moisturisers,,,,,Vaginal Moisturiser,May 2019,21462020,,,,,,,,,0,71520100
60229,2.39892110000e+16,23193021,4881,YES WB water based vaginal lubricant tube (The Yes Yes Company Ltd),,,,,Vaginal Moisturiser,June 2014,23193021,,,,,,,,,0,71520100
76043,3.64477110000e+16,83136021,745,YES VM vaginal moisturiser pre-filled applicators (The Yes Yes Company Ltd),,,,,Vaginal Moisturiser,May 2019,83136021,,,,,,,,,0,71520100
37063,1.27654110000e+16,1494021,62173,Sylk vaginal moisturiser (Sylk Ltd),,,Vaginal Moisturiser,,Vaginal Moisturiser,February 2009,19672005,,,,,,,,,0,71520100
61673,2.46306110000e+16,27081021,187,Gynomunal vaginal moisturiser (Cederberg GmbH),,,,,Vaginal Moisturiser,November 2014,27081021,,,,,,,,,0,71520100
74252,3.58218110000e+16,82429021,7294,ReplensMD vaginal moisturiser tube (Church & Dwight UK Ltd),,,,,Vaginal Moisturiser,January 2019,82429021,,,,,,,,,0,71520100
73030,3.52529110000e+16,80225021,42,Feminesse vaginal moisturiser tube (Crescent Pharma OTC Ltd),,,,,Vaginal Moisturiser,September 2018,80225021,,,,,,,,,0,71520100
75285,3.56678110000e+16,82095021,78,Vagisil Internal Hydrating gel (Combe International Ltd),,,,,Vaginal Moisturiser,March 2019,82095021,,,,,,,,,0,71520100
59059,2.33230110000e+16,20343021,1703,Regelle vaginal moisturiser (KoRa Healthcare),,,,,Vaginal Moisturiser,March 2014,20343021,,,,,,,,,0,71520100
