prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
65470,1.54386110000e+16,36302020,4,Sea water nasal spray,,,Spray,,Nasal Spray/Nasal Spray Isotonic,February 2016,36302020,,,,,,,,,1,71380400
52086,2.12458110000e+16,45280020,4207,Sterimar Baby 31.8% isotonic nasal spray (Church & Dwight UK Ltd),,,Spray,,Nasal Spray/Nasal Spray Isotonic,January 2013,45280020,,,,,,,,,1,71380400
39939,1.54129110000e+16,4987021,183510,Sterimar 31.8% isotonic nasal spray (Church & Dwight UK Ltd),,,Spray,,Nasal Spray/Nasal Spray Isotonic,August 2009,23180005,,,,,,,,,1,71380400
