prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
44448,1.64618110000e+16,6785021,145,Aknicare cream (SkinMed Ltd),,,Cream,,Other Topical Preparations For Acne/Acne Treatment Cream,January 2011,25020005,,,,,,,,,1,71050100
44449,1.64621110000e+16,6787021,164,Aknicare lotion (SkinMed Ltd),,,Lotion,,Other Topical Preparations For Acne/Acne Treatment Cream,January 2011,25022005,,,,,,,,,1,71050100
