prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
42476,4797611000001100,89473020,73,Mediplast Zinc Oxide plaster 1.25cm (Neomedic Ltd),Zinc Oxide,1.25cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,June 2010,13319005,,,,,,,,,0,72170800
28776,4798611000001101,89477020,230,Mediplast Zinc Oxide plaster 5cm (Neomedic Ltd),Zinc Oxide,5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,13321005,,,,,,,,,0,72170800
13156,3166711000001104,85820020,258,Zinc oxide adhesive tape 5cm,Zinc Oxide,5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,11540005,,,,,,,,,0,72170800
13133,4798311000001106,89475020,259,Mediplast Zinc Oxide plaster 2.5cm (Neomedic Ltd),Zinc Oxide,2.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,13320005,,,,,,,,,0,72170800
16857,82511000001107,83906020,573,Strappal adhesive tape 2.5cm (BSN medical Ltd),Zinc Oxide,2.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,10671005,,,,,,,,,0,72170800
67209,3.07357110000e+16,57370021,20,Blue Dot Zinc Oxide tape 2.5cm (Crest Medical Ltd),,,,,Zinc Oxide Adhesive Tape,August 2016,57370021,,,,,,,,,0,72170800
26378,430411000001109,83908020,235,Strappal adhesive tape 5cm (BSN medical Ltd),Zinc Oxide,5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,10672005,,,,,,,,,0,72170800
17635,3166611000001108,85818020,1201,Zinc oxide adhesive tape 2.5cm,Zinc Oxide,2.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,11539005,,,,,,,,,0,72170800
26377,886711000001102,83910020,18,Strappal adhesive tape 7.5cm (BSN medical Ltd),Zinc Oxide,7.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,10673005,,,,,,,,,0,72170800
18532,163211000001107,83902020,72,Strappal adhesive tape 1.25cm (BSN medical Ltd),Zinc Oxide,1.25cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,10669005,,,,,,,,,0,72170800
26022,3166811000001107,85823020,88,Zinc oxide adhesive tape 7.5cm,Zinc Oxide,7.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,11541005,,,,,,,,,0,72170800
36159,4798811000001102,89479020,12,Mediplast Zinc Oxide plaster 7.5cm (Neomedic Ltd),Zinc Oxide,7.5cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,13322005,,,,,,,,,0,72170800
610,3166511000001109,85814020,539,Zinc oxide adhesive tape 1.25cm,Zinc Oxide,1.25cm,Adhesive Tape,,Zinc Oxide Adhesive Tape,February 2009,11537005,,,,,,,,,0,72170800
