prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
15319,2615001000027102,48312020,30,Cetomacrogol emulsifying wax,Cetomacrogol Emulsifying Wax,,Emulsifying Wax,,Skin,February 2009,85009,,,,,,,,,0,13000000
28832,2215001000027100,48268020,7,Wool alcohols vehicle base,Liquid Paraffin/Wool Alcohols,,Vehicle Base,,Skin,February 2009,73010,,,,,,,,,0,13000000
30812,9.10350010000e+16,59545020,11,White soft paraffin - base plate (Lapgap),White soft paraffin,1mg/1mg,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,2911009,,,,,,,,,1,13000000
34155,9.76750010000e+16,60642020,405,Cetomacrogol creaam,Liquid Paraffin/Cetomacrogol Emulsifying Wax/White Soft Paraffin,,Cream,,Skin,February 2009,3168001,,,,,,,,,0,13000000
9747,4.10250010000e+16,53160020,5903,Petroleum white jelly,White Soft Paraffin,,Jelly,Topical,Skin/Emollient Skin Preparations,February 2009,1269009,,,,,,,,,1,13000000
2118,3.28750010000e+16,52079020,80522,Ultrabase Cream (Valeant Pharmaceuticals Ltd),Liquid Paraffin/Methyl Hydroxybenzoate/White Soft Paraffin,,Cream,Topical,Skin/Emollient Skin Preparations,February 2009,990001,,,,,,,,,1,13000000
34131,1.73750010000e+16,50206020,100,White soft paraffin gel (Thornton & Ross Ltd),White soft paraffin,1mg/1mg,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,529009,,,,,,,,,1,13000000
43444,5.67950010000e+16,55100020,1,Zinc Paste (J M Loveridge Ltd),Zinc oxide/Starch/White soft paraffin,250mg/1gram + 250mg/1gram + 500mg/1gram,Paste,Cutaneous,Skin,September 2010,1776009,,,,,,,,,0,13000000
31730,2.86450010000e+16,51583020,2,White soft paraffin gel (Adams Healthcare),White soft paraffin,1mg/1mg,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,866009,,,,,,,,,1,13000000
550,5.40750010000e+16,54791020,357,Lanolin Ointment (Adams Healthcare),Wool fat,350mg/1gram,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,1690009,,,,,,,,,1,13000000
731,2.38435001000e+17,88131020,410,Lanolin Ointment,Wool Fat/Yellow Soft Paraffin,,Ointment,Topical,Skin/Emollient Skin Preparations,February 2009,12640001,,,,,,,,,1,13000000
10992,6.88950010000e+16,56708020,57,Petroleum Base (A A H Pharmaceuticals Ltd),White soft paraffin,1mg/1mg,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,2183009,,,,,,,,,1,13000000
9509,1.90595001000e+17,74101020,440,Emollient with hydroxybenzoates cream,Liquid Paraffin/Methyl Hydroxybenzoate/White Soft Paraffin,,Cream,Topical,Skin/Emollient Skin Preparations,February 2009,6840001,,,,,,,,,1,13000000
6258,1.09650010000e+16,49377020,7587,White paraffin ointment BP,Beeswax White/Hard Paraffin/White Soft Paraffin,,Ointment,,Skin,February 2009,337001,,,,,,,,,0,13000000
195,5.40350010000e+16,54788020,653,Lanolin Cream (Ayrton Saunders Ltd),Wool fat,350mg/1gram,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,1689009,,,,,,,,,1,13000000
4108,6.26550010000e+16,55845020,1689,Cetomacrogol emulsifying ointment,Liquid Paraffin/Cetomacrogol Emulsifying Wax/White Soft Paraffin,,Emulsifying Ointment,Topical,Skin/Emollient Skin Preparations,February 2009,1974001,,,,,,,,,1,13000000
26204,2685001000027100,48320020,81,Hydrous wool fat vehicle base,Wool Fat,,Vehicle Base,,Skin,February 2009,87009,,,,,,,,,0,13000000
21132,7.11350010000e+16,57077020,17,White soft paraffin - base plate (Actavis UK Ltd),White soft paraffin,1mg/1mg,Ointment,Cutaneous,Skin/Emollient Skin Preparations,February 2009,2268009,,,,,,,,,1,13000000
77310,1.39050010000e+16,49804020,3,Hydrous wool fat Ointment (Thornton & Ross Ltd),Wool fat,350mg/1gram,Ointment,Cutaneous,Skin/Emollient Skin Preparations,July 2019,434009,,,,,,,,,1,13000000
36713,1.90605001000e+17,74102020,1,Emollient with hydroxybenzoates lotion,Liquid Paraffin/Methyl Hydroxybenzoate/White Soft Paraffin,,Lotion,Topical,Skin/Emollient Skin Preparations,February 2009,6840002,,,,,,,,,1,13000000
